,...1,GISJOIN,FIPS,ADI_NATRANK,ADI_STATERNK,STATE
1,110183,G29000109501001,2.9002E+11,67,5,29
2,110184,G29000109501002,2.9002E+11,61,4,29
3,110185,G29000109501003,2.9002E+11,86,8,29
4,110186,G29000109502001,2.9002E+11,93,9,29
5,110187,G29000109502002,2.9002E+11,85,8,29
6,110188,G29000109502003,2.9002E+11,54,3,29
7,110189,G29000109503001,2.9002E+11,91,9,29
8,110190,G29000109503002,2.9002E+11,95,10,29
9,110191,G29000109503003,2.9002E+11,97,10,29
10,110192,G29000109503004,2.9002E+11,94,9,29
11,110193,G29000109504001,2.9002E+11,74,6,29
12,110194,G29000109504002,2.9002E+11,68,5,29
13,110195,G29000109504003,2.9002E+11,87,8,29
14,110196,G29000109505001,2.9002E+11,47,3,29
15,110197,G29000109505002,2.9002E+11,84,8,29
16,110198,G29000109505003,2.9002E+11,67,5,29
17,110199,G29000109505004,2.9002E+11,83,7,29
18,110200,G29000109505005,2.9002E+11,33,1,29
19,110201,G29000109505006,2.9002E+11,71,6,29
20,110202,G29000109509001,2.9002E+11,82,7,29
21,110203,G29000109509002,2.9002E+11,88,8,29
22,110204,G29000109509003,2.9002E+11,88,8,29
23,110205,G29000109510001,2.9002E+11,GQ-PH,GQ-PH,29
24,110206,G29000109510002,2.9002E+11,GQ-PH,GQ-PH,29
25,110207,G29000109510003,2.9002E+11,GQ-PH,GQ-PH,29
26,110208,G29000300101001,2.9003E+11,49,3,29
27,110209,G29000300101002,2.9003E+11,61,4,29
28,110210,G29000300101003,2.9003E+11,29,1,29
29,110211,G29000300101004,2.9003E+11,46,2,29
30,110212,G29000300102001,2.9003E+11,75,6,29
31,110213,G29000300102002,2.9003E+11,61,4,29
32,110214,G29000300102003,2.9003E+11,82,7,29
33,110215,G29000300102004,2.9003E+11,75,6,29
34,110216,G29000300102005,2.9003E+11,66,5,29
35,110217,G29000300103001,2.9003E+11,75,6,29
36,110218,G29000300103002,2.9003E+11,77,7,29
37,110219,G29000300104001,2.9003E+11,74,6,29
38,110220,G29000300104002,2.9003E+11,62,4,29
39,110221,G29000300104003,2.9003E+11,56,4,29
40,110222,G29000509501001,2.9006E+11,74,6,29
41,110223,G29000509501002,2.9006E+11,91,9,29
42,110224,G29000509501003,2.9006E+11,89,8,29
43,110225,G29000509501004,2.9006E+11,85,8,29
44,110226,G29000509502001,2.9006E+11,82,7,29
45,110227,G29000509502002,2.9006E+11,78,7,29
46,110228,G29000509502003,2.9006E+11,73,6,29
47,110229,G29000709501001,2.9008E+11,95,10,29
48,110230,G29000709501002,2.9008E+11,GQ,GQ,29
49,110231,G29000709501003,2.9008E+11,94,9,29
50,110232,G29000709502001,2.9008E+11,60,4,29
51,110233,G29000709502002,2.9008E+11,97,10,29
52,110234,G29000709502003,2.9008E+11,74,6,29
53,110235,G29000709502004,2.9008E+11,82,7,29
54,110236,G29000709502005,2.9008E+11,76,6,29
55,110237,G29000709503001,2.9008E+11,66,5,29
56,110238,G29000709503002,2.9008E+11,66,5,29
57,110239,G29000709503003,2.9008E+11,56,4,29
58,110240,G29000709504001,2.9008E+11,83,7,29
59,110241,G29000709504002,2.9008E+11,91,9,29
60,110242,G29000709504003,2.9008E+11,88,8,29
61,110243,G29000709505001,2.9008E+11,76,6,29
62,110244,G29000709505002,2.9008E+11,95,10,29
63,110245,G29000709505003,2.9008E+11,85,8,29
64,110246,G29000709505004,2.9008E+11,94,9,29
65,110247,G29000709506001,2.9008E+11,81,7,29
66,110248,G29000709506002,2.9008E+11,71,6,29
67,110249,G29000709507001,2.9008E+11,89,8,29
68,110250,G29000709507002,2.9008E+11,90,9,29
69,110251,G29000709507003,2.9008E+11,93,9,29
70,110252,G29000709507004,2.9008E+11,95,10,29
71,110253,G29000909601001,2.901E+11,82,7,29
72,110254,G29000909601002,2.901E+11,63,5,29
73,110255,G29000909601003,2.901E+11,73,6,29
74,110256,G29000909601004,2.901E+11,57,4,29
75,110257,G29000909601005,2.901E+11,67,5,29
76,110258,G29000909602001,2.901E+11,67,5,29
77,110259,G29000909602002,2.901E+11,89,8,29
78,110260,G29000909602003,2.901E+11,49,3,29
79,110261,G29000909602004,2.901E+11,65,5,29
80,110262,G29000909602005,2.901E+11,81,7,29
81,110263,G29000909603001,2.901E+11,86,8,29
82,110264,G29000909603002,2.901E+11,95,10,29
83,110265,G29000909603003,2.901E+11,85,8,29
84,110266,G29000909603004,2.901E+11,56,4,29
85,110267,G29000909603005,2.901E+11,82,7,29
86,110268,G29000909603006,2.901E+11,76,6,29
87,110269,G29000909604011,2.901E+11,89,8,29
88,110270,G29000909604012,2.901E+11,77,7,29
89,110271,G29000909604013,2.901E+11,80,7,29
90,110272,G29000909604021,2.901E+11,77,7,29
91,110273,G29000909604022,2.901E+11,76,6,29
92,110274,G29000909604023,2.901E+11,86,8,29
93,110275,G29000909605001,2.901E+11,72,6,29
94,110276,G29000909605002,2.901E+11,39,2,29
95,110277,G29000909605003,2.901E+11,84,8,29
96,110278,G29000909605004,2.901E+11,82,7,29
97,110279,G29000909605005,2.901E+11,75,6,29
98,110280,G29000909606001,2.901E+11,58,4,29
99,110281,G29000909606002,2.901E+11,68,5,29
100,110282,G29001109601001,2.9012E+11,72,6,29
101,110283,G29001109601002,2.9012E+11,59,4,29
102,110284,G29001109601003,2.9012E+11,96,10,29
103,110285,G29001109602001,2.9012E+11,63,5,29
104,110286,G29001109602002,2.9012E+11,80,7,29
105,110287,G29001109602003,2.9012E+11,95,10,29
106,110288,G29001109602004,2.9012E+11,59,4,29
107,110289,G29001109603001,2.9012E+11,94,9,29
108,110290,G29001109603002,2.9012E+11,76,6,29
109,110291,G29001109603003,2.9012E+11,60,4,29
110,110292,G29001109603004,2.9012E+11,88,8,29
111,110293,G29001109603005,2.9012E+11,83,7,29
112,110294,G29001300701001,2.90131E+11,55,3,29
113,110295,G29001300701002,2.90131E+11,51,3,29
114,110296,G29001300701003,2.90131E+11,79,7,29
115,110297,G29001300702001,2.90131E+11,78,7,29
116,110298,G29001300702002,2.90131E+11,73,6,29
117,110299,G29001300702003,2.90131E+11,62,4,29
118,110300,G29001300702004,2.90131E+11,63,5,29
119,110301,G29001300703001,2.90131E+11,96,10,29
120,110302,G29001300703002,2.90131E+11,85,8,29
121,110303,G29001300703003,2.90131E+11,73,6,29
122,110304,G29001300703004,2.90131E+11,97,10,29
123,110305,G29001300704001,2.90131E+11,45,2,29
124,110306,G29001300704002,2.90131E+11,94,9,29
125,110307,G29001300704003,2.90131E+11,85,8,29
126,110308,G29001504601001,2.90155E+11,61,4,29
127,110309,G29001504601002,2.90155E+11,58,4,29
128,110310,G29001504601003,2.90155E+11,84,8,29
129,110311,G29001504602001,2.90155E+11,65,5,29
130,110312,G29001504602002,2.90155E+11,81,7,29
131,110313,G29001504603001,2.90155E+11,68,5,29
132,110314,G29001504603002,2.90155E+11,86,8,29
133,110315,G29001504603003,2.90155E+11,91,9,29
134,110316,G29001504604001,2.90155E+11,82,7,29
135,110317,G29001504604002,2.90155E+11,92,9,29
136,110318,G29001504607001,2.90155E+11,69,5,29
137,110319,G29001504607002,2.90155E+11,74,6,29
138,110320,G29001504608001,2.90155E+11,95,10,29
139,110321,G29001504608002,2.90155E+11,60,4,29
140,110322,G29001504608003,2.90155E+11,69,5,29
141,110323,G29001504608004,2.90155E+11,94,9,29
142,110324,G29001709501001,2.9018E+11,67,5,29
143,110325,G29001709501002,2.9018E+11,91,9,29
144,110326,G29001709501003,2.9018E+11,62,4,29
145,110327,G29001709501004,2.9018E+11,62,4,29
146,110328,G29001709502001,2.9018E+11,83,7,29
147,110329,G29001709502002,2.9018E+11,83,7,29
148,110330,G29001709502003,2.9018E+11,93,9,29
149,110331,G29001709502004,2.9018E+11,67,5,29
150,110332,G29001709503001,2.9018E+11,76,6,29
151,110333,G29001709503002,2.9018E+11,74,6,29
152,110334,G29001709503003,2.9018E+11,90,9,29
153,110335,G29001900002001,2.9019E+11,86,8,29
154,110336,G29001900002002,2.9019E+11,81,7,29
155,110337,G29001900003001,2.9019E+11,59,4,29
156,110338,G29001900003002,2.9019E+11,GQ,GQ,29
157,110339,G29001900003003,2.9019E+11,52,3,29
158,110340,G29001900005001,2.9019E+11,69,5,29
159,110341,G29001900005002,2.9019E+11,GQ,GQ,29
160,110342,G29001900006001,2.9019E+11,25,1,29
161,110343,G29001900006002,2.9019E+11,29,1,29
